investigation	investigation#	investigation+N+SG
departments	department^s#	department+N+PL
counties	county^s#	county+N+PL
state	state#	state+N+SG
exception	exception#	exception+N+SG
money	money#	money+N+SG
jurors	juror^s#	juror+N+PL
distribution	distribution#	distribution+N+SG
funds	fund^s#	fund+N+PL
program	program#	program+N+SG
counties	county^s#	county+N+PL
future	future#	future+N+SG
portion	portion#	portion+N+SG
funds	fund^s#	fund+N+PL
jurors	juror^s#	juror+N+PL
Failure	failure#	failure+N+SG
burden	burden#	burden+N+SG
taxpayers	taxpayer^s#	taxpayer+N+PL
jury	jury#	jury+N+SG
court	court#	court+N+SG
fire	fire#	fire+N+SG
practices	practice^s#	practice+N+PL
appointment	appointment#	appointment+N+SG
appraisers	appraiser^s#	appraiser+N+PL
guardians	guardian^s#	guardian+N+PL
administrators	administrator^s#	administrator+N+PL
awarding	awarding#	awarding+N+SG
fees	fee^s#	fee+N+PL
compensation	compensation#	compensation+N+SG
jury	jury#	jury+N+SG
court	court#	court+N+SG
procedures	procedure^s#	procedure+N+PL
recommendations	recommendation^s#	recommendation+N+PL
juries	jury^s#	jury+N+PL
interim	interim#	interim+N+SG
citizens	citizen^s#	citizen+N+PL
committee	committee#	committee+N+SG
actions	action^s#	action+N+PL
fact	fact#	fact+N+SG
effect	effect#	effect+N+SG
wards	ward^s#	ward+N+PL
costs	cost^s#	cost+N+PL
servants	servant^s#	servant+N+PL
criticisms	criticism^s#	criticism+N+PL
jury	jury#	jury+N+SG
airport	airport#	airport+N+SG
jury	jury#	jury+N+SG
management	management#	management+N+SG
charge	charge#	charge+N+SG
airport	airport#	airport+N+SG
manner	manner#	manner+N+SG
influences	influence^s#	influence+N+PL
jury	jury#	jury+N+SG
surveillance	surveillance#	surveillance+N+SG
practices	practice^s#	practice+N+PL
concessionaires	concessionaire^s#	concessionaire+N+PL
purpose	purpose#	purpose+N+SG
prices	price^s#	price+N+PL
matters	matter^s#	matter+N+PL
jury	jury#	jury+N+SG
deputies	deputy^s#	deputy+N+PL
doctor	doctor#	doctor+N+SG
intern	intern#	intern+N+SG
extern	extern#	extern+N+SG
night	night#	night+N+SG
weekend	weekend#	weekend+N+SG
duty	duty#	duty+N+SG
jail	jail#	jail+N+SG
legislators	legislator^s#	legislator+N+PL
city	city#	city+N+SG
officials	official^s#	official+N+PL
legislation	legislation#	legislation+N+SG
establishment	establishment#	establishment+N+SG
pension	pension#	pension+N+SG
plan	plan#	plan+N+SG
city	city#	city+N+SG
employes	employe^s#	employe+N+PL
jury	jury#	jury+N+SG
administration	administration#	administration+N+SG
operation	operation#	operation+N+SG
prison	prison#	prison+N+SG
farms	farm^s#	farm+N+PL
suit	suit#	suit+N+SG
divorce	divorce#	divorce+N+SG
wife	wife#	wife+N+SG
petition	petition#	petition+N+SG
cruelty	cruelty#	cruelty+N+SG
couple	couple#	couple+N+SG
son	son#	son+N+SG
daughter	daughter#	daughter+N+SG
Attorneys	attorney^s#	attorney+N+PL
mayor	mayor#	mayor+N+SG
property	property#	property+N+SG
settlement	settlement#	settlement+N+SG
petition	petition#	petition+N+SG
occupation	occupation#	occupation+N+SG
attorney	attorney#	attorney+N+SG
age	age#	age+N+SG
age	age#	age+N+SG
place	place#	place+N+SG
birth	birth#	birth+N+SG
petition	petition#	petition+N+SG
couple	couple#	couple+N+SG
man	man#	man+N+SG
wife	wife#	wife+N+SG
year	year#	year+N+SG
petition	petition#	petition+N+SG
attorney	attorney#	attorney+N+SG
mayor	mayor#	mayor+N+SG
exception	exception#	exception+N+SG
interlude	interlude#	interlude+N+SG
career	career#	career+N+SG
election	election#	election+N+SG
city	city#	city+N+SG
council	council#	council+N+SG
term	term#	term+N+SG
office	office#	office+N+SG
candidate	candidate#	candidate+N+SG
primary	primary#	primary+N+SG
reelection	reelection#	reelection+N+SG
encouragement	encouragement#	encouragement+N+SG
candidate	candidate#	candidate+N+SG
race	race#	race+N+SG
official	official#	official+N+SG
state	state#	state+N+SG
GOP	gop#	gop+N+SG
chairman	chairman#	chairman+N+SG
meeting	meeting#	meeting+N+SG
night	night#	night+N+SG
responses	respons^s#	respons+N+PL
audience	audience#	audience+N+SG
enthusiasm	enthusiasm#	enthusiasm+N+SG
state	state#	state+N+SG
rally	rally#	rally+N+SG
speaker	speaker#	speaker+N+SG
meeting	meeting#	meeting+N+SG
audience	audience#	audience+N+SG
candidate	candidate#	candidate+N+SG
governor	governor#	governor+N+SG
petitions	petition^s#	petition+N+PL
precincts	precinct^s#	precinct+N+PL
signatures	signature^s#	signature+N+PL
voters	voter^s#	voter+N+PL
vote	vote#	vote+N+SG
candidate	candidate#	candidate+N+SG
crowd	crowd#	crowd+N+SG
term	term#	term+N+SG
race	race#	race+N+SG
dissents	dissent^s#	dissent+N+PL
hurdle	hurdle#	hurdle+N+SG
state	state#	state+N+SG
law	law#	law+N+SG
race	race#	race+N+SG
courses	cours^s#	cours+N+PL
cent	cent#	cent+N+SG
voters	voter^s#	voter+N+PL
county	county#	county+N+SG
petitions	petition^s#	petition+N+PL
names	name^s#	name+N+PL
candidates	candidate^s#	candidate+N+PL
election	election#	election+N+SG
ballot	ballot#	ballot+N+SG
primary	primary#	primary+N+SG
county	county#	county+N+SG
unit	unit#	unit+N+SG
system	system#	system+N+SG
system	system#	system+N+SG
party	party#	party+N+SG
platform	platform#	platform+N+SG
relations	relation^s#	relation+N+PL
director	director#	director+N+SG
campaign	campaign#	campaign+N+SG
resignation	resignation#	resignation+N+SG
time	time#	time+N+SG
assistant	assistant#	assistant+N+SG
years	year^s#	year+N+PL
campaign	campaign#	campaign+N+SG
campaign	campaign#	campaign+N+SG
coordinator	coordinator#	coordinator+N+SG
session	session#	session+N+SG
highway	highway#	highway+N+SG
bond	bond#	bond+N+SG
money	money#	money+N+SG
adjournment	adjournment#	adjournment+N+SG
afternoon	afternoon#	afternoon+N+SG
study	study#	study+N+SG
number	number#	number+N+SG
legislators	legislator^s#	legislator+N+PL
areas	area^s#	area+N+PL
adjustments	adjustment^s#	adjustment+N+PL
visit	visit#	visit+N+SG
chambers	chamber^s#	chamber+N+PL
adjournment	adjournment#	adjournment+N+SG
highway	highway#	highway+N+SG
bond	bond#	bond+N+SG
issue	issue#	issue+N+SG
session	session#	session+N+SG
priority	priority#	priority+N+SG
item	item#	item+N+SG
worth	worth#	worth+N+SG
highway	highway#	highway+N+SG
reconstruction	reconstruction#	reconstruction+N+SG
bonds	bond^s#	bond+N+PL
bond	bond#	bond+N+SG
issue	issue#	issue+N+SG
state	state#	state+N+SG
courts	court^s#	court+N+PL
test	test#	test+N+SG
suit	suit#	suit+N+SG
validity	validity#	validity+N+SG
act	act#	act+N+SG
sales	sale^s#	sale+N+PL
contracts	contract^s#	contract+N+PL
repair	repair#	repair+N+SG
work	work#	work+N+SG
highways	highway^s#	highway+N+PL
source	source#	source+N+SG
plan	plan#	plan+N+SG
worth	worth#	worth+N+SG
bonds	bond^s#	bond+N+PL
road	road#	road+N+SG
construction	construction#	construction+N+SG
work	work#	work+N+SG
department	department#	department+N+SG
fund	fund#	fund+N+SG
bonds	bond^s#	bond+N+PL
time	time#	time+N+SG
portion	portion#	portion+N+SG
ones	one^s#	one+N+PL
tax	tax#	tax+N+SG
authorities	authority^s#	authority+N+PL
race	race#	race+N+SG
governor	governor#	governor+N+SG
battle	battle#	battle+N+SG
issuance	issuance#	issuance+N+SG
worth	worth#	worth+N+SG
roads	road^s#	road+N+PL
bonds	bond^s#	bond+N+PL
source	source#	source+N+SG
plans	plan^s#	plan+N+PL
roads	road^s#	road+N+PL
bonds	bond^s#	bond+N+PL
resolution	resolution#	resolution+N+SG
action	action#	action+N+SG
day	day#	day+N+SG
increase	increase#	increase+N+SG
expense	expense#	expense+N+SG
allowances	allowance^s#	allowance+N+PL
night	night#	night+N+SG
research	research#	research+N+SG
quickie	quickie#	quickie+N+SG
vote	vote#	vote+N+SG
increase	increase#	increase+N+SG
notice	notice#	notice+N+SG
reconsideration	reconsideration#	reconsideration+N+SG
action	action#	action+N+SG
details	detail^s#	detail+N+PL
resolution	resolution#	resolution+N+SG
privilege	privilege#	privilege+N+SG
resolution	resolution#	resolution+N+SG
resolution	resolution#	resolution+N+SG
vote	vote#	vote+N+SG
night	night#	night+N+SG
word	word#	word+N+SG
resolution	resolution#	resolution+N+SG
action	action#	action+N+SG
voters	voter^s#	voter+N+PL
amendment	amendment#	amendment+N+SG
legislators	legislator^s#	legislator+N+PL
pay	pay#	pay+N+SG
raises	rais^s#	rais+N+PL
sessions	session^s#	session+N+PL
legislator	legislator#	legislator+N+SG
aid	aid#	aid+N+SG
education	education#	education+N+SG
past	past#	past+N+SG
privilege	privilege#	privilege+N+SG
resolution	resolution#	resolution+N+SG
support	support#	support+N+SG
education	education#	education+N+SG
funds	fund^s#	fund+N+PL
state	state#	state+N+SG
funds	fund^s#	fund+N+PL
year	year#	year+N+SG
legislator	legislator#	legislator+N+SG
members	member^s#	member+N+PL
delegation	delegation#	delegation+N+SG
resolution	resolution#	resolution+N+SG
congressmen	congressmen#	congressmen+N+SG
resolution	resolution#	resolution+N+SG
resolution	resolution#	resolution+N+SG
hopper	hopper#	hopper+N+SG
event	event#	event+N+SG
increase	increase#	increase+N+SG
funds	fund^s#	fund+N+PL
priority	priority#	priority+N+SG
teacher	teacher#	teacher+N+SG
pay	pay#	pay+N+SG
raises	rais^s#	rais+N+PL
controversy	controversy#	controversy+N+SG
school	school#	school+N+SG
superintendent	superintendent#	superintendent+N+SG
policeman	policeman#	policeman+N+SG
election	election#	election+N+SG
county	county#	county+N+SG
school	school#	school+N+SG
superintendent	superintendent#	superintendent+N+SG
agriculture	agriculture#	agriculture+N+SG
teacher	teacher#	teacher+N+SG
school	school#	school+N+SG
principal	principal#	principal+N+SG
chairman	chairman#	chairman+N+SG
votes	vote^s#	vote+N+PL
election	election#	election+N+SG
pistol	pistol#	pistol+N+SG
polls	poll^s#	poll+N+PL
order	order#	order+N+SG
election	election#	election+N+SG
polls	poll^s#	poll+N+PL
church	church#	church+N+SG
drop	drop#	drop+N+SG
liquor	liquor#	liquor+N+SG
bit	bit#	bit+N+SG
trouble	trouble#	trouble+N+SG
campaign	campaign#	campaign+N+SG
election	election#	election+N+SG
controversy	controversy#	controversy+N+SG
midnight	midnight#	midnight+N+SG
phone	phone#	phone+N+SG
calls	call^s#	call+N+PL
threats	threat^s#	threat+N+PL
violence	violence#	violence+N+SG
county	county#	county+N+SG
school	school#	school+N+SG
superintendent	superintendent#	superintendent+N+SG
death	death#	death+N+SG
days	day^s#	day+N+PL
post	post#	post+N+SG
dispute	dispute#	dispute+N+SG
county	county#	county+N+SG
school	school#	school+N+SG
board	board#	board+N+SG
election	election#	election+N+SG
campaign	campaign#	campaign+N+SG
candidates	candidate^s#	candidate+N+PL
telephone	telephone#	telephone+N+SG
calls	call^s#	call+N+PL
calls	call^s#	call+N+PL
election	election#	election+N+SG
citizens	citizen^s#	citizen+N+PL
irregularities	irregularity^s#	irregularity+N+PL
polls	poll^s#	poll+N+PL
permit	permit#	permit+N+SG
gun	gun#	gun+N+SG
election	election#	election+N+SG
ordinary	ordinary#	ordinary+N+SG
promise	promise#	promise+N+SG
sheriff	sheriff#	sheriff+N+SG
bit	bit#	bit+N+SG
trouble	trouble#	trouble+N+SG
Committee	committee#	committee+N+SG
approval	approval#	approval+N+SG
property	property#	property+N+SG
act	act#	act+N+SG
protests	protest^s#	protest+N+PL
bankers	banker^s#	banker+N+PL
fight	fight#	fight+N+SG
measure	measure#	measure+N+SG
rejection	rejection#	rejection+N+SG
hearing	hearing#	hearing+N+SG
committee	committee#	committee+N+SG
rules	rule^s#	rule+N+PL
subcommittee	subcommittee#	subcommittee+N+SG
week	week#	week+N+SG
questions	question^s#	question+N+PL
committee	committee#	committee+N+SG
members	member^s#	member+N+PL
bankers	banker^s#	banker+N+PL
witnesses	witness^s#	witness+N+PL
doubt	doubt#	doubt+N+SG
passage	passage#	passage+N+SG
estimate	estimate#	estimate+N+SG
dollars	dollar^s#	dollar+N+PL
deficit	deficit#	deficit+N+SG
dollars	dollar^s#	dollar+N+PL
end	end#	end+N+SG
year	year#	year+N+SG
committee	committee#	committee+N+SG
measure	measure#	measure+N+SG
means	mean^s#	mean+N+PL
escheat	escheat#	escheat+N+SG
law	law#	law+N+SG
books	book^s#	book+N+PL
republic	republic#	republic+N+SG
state	state#	state+N+SG
bank	bank#	bank+N+SG
accounts	account^s#	account+N+PL
stocks	stock^s#	stock+N+PL
property	property#	property+N+SG
persons	person^s#	person+N+PL
years	year^s#	year+N+PL
bill	bill#	bill+N+SG
banks	bank^s#	bank+N+PL
insurance	insurance#	insurance+N+SG
firms	firm^s#	firm+N+PL
pipeline	pipeline#	pipeline+N+SG
companies	company^s#	company+N+PL
corporations	corporation^s#	corporation+N+PL
property	property#	property+N+SG
state	state#	state+N+SG
treasurer	treasurer#	treasurer+N+SG
escheat	escheat#	escheat+N+SG
law	law#	law+N+SG
property	property#	property+N+SG
lawyer	lawyer#	lawyer+N+SG
opposition	opposition#	opposition+N+SG
keynote	keynote#	keynote+N+SG
banks	bank^s#	bank+N+PL
obligations	obligation^s#	obligation+N+PL
depositors	depositor^s#	depositor+N+PL
confidence	confidence#	confidence+N+SG
bank	bank#	bank+N+SG
customers	customer^s#	customer+N+PL
confidence	confidence#	confidence+N+SG
banks	bank^s#	bank+N+PL
economy	economy#	economy+N+SG
circulation	circulation#	circulation+N+SG
millions	million^s#	million+N+PL
dollars	dollar^s#	dollar+N+PL
sponsor	sponsor#	sponsor+N+SG
bill	bill#	bill+N+SG
failure	failure#	failure+N+SG
gift	gift#	gift+N+SG
pockets	pocket^s#	pocket+N+PL
banks	bank^s#	bank+N+PL
insurance	insurance#	insurance+N+SG
pipeline	pipeline#	pipeline+N+SG
companies	company^s#	company+N+PL
contention	contention#	contention+N+SG
bankers	banker^s#	banker+N+PL
bill	bill#	bill+N+SG
contracts	contract^s#	contract+N+PL
notice	notice#	notice+N+SG
hearing	hearing#	hearing+N+SG
bill	bill#	bill+N+SG
Senators	senator^s#	senator+N+PL
bill	bill#	bill+N+SG
establishment	establishment#	establishment+N+SG
day	day#	day+N+SG
schools	school^s#	school+N+PL
counties	county^s#	county+N+PL
bill	bill#	bill+N+SG
schooling	schooling#	schooling+N+SG
students	student^s#	student+N+PL
age	age#	age+N+SG
cost	cost#	cost+N+SG
state	state#	state+N+SG
debate	debate#	debate+N+SG
bill	bill#	bill+N+SG
day	day#	day+N+SG
schools	school^s#	school+N+PL
counties	county^s#	county+N+PL
population	population#	population+N+SG
children	children#	children+N+SG
years	year^s#	year+N+PL
age	age#	age+N+SG
day	day#	day+N+SG
schools	school^s#	school+N+PL
ones	one^s#	one+N+PL
budget	budget#	budget+N+SG
day	day#	day+N+SG
schools	school^s#	school+N+PL
counties	county^s#	county+N+PL
savings	saving^s#	saving+N+PL
capital	capital#	capital+N+SG
outlay	outlay#	outlay+N+SG
TEA	tea#	tea+N+SG
scholastics	scholastic^s#	scholastic+N+PL
day	day#	day+N+SG
school	school#	school+N+SG
state	state#	state+N+SG
school	school#	school+N+SG
debate	debate#	debate+N+SG
horse	horse#	horse+N+SG
race	race#	race+N+SG
parimutuels	parimutuel^s#	parimutuel+N+PL
details	detail^s#	detail+N+PL
folks	folk^s#	folk+N+PL
amendment	amendment#	amendment+N+SG
letters	letter^s#	letter+N+PL
horse	horse#	horse+N+SG
race	race#	race+N+SG
betting	betting#	betting+N+SG
people	people#	people+N+SG
question	question#	question+N+SG
career	career#	career+N+SG
advocacy	advocacy#	advocacy+N+SG
ponies	pony^s#	pony+N+PL
committee	committee#	committee+N+SG
option	option#	option+N+SG
proposal	proposal#	proposal+N+SG
report	report#	report+N+SG
resolution	resolution#	resolution+N+SG
sledding	sledding#	sledding+N+SG
house	house#	house+N+SG
bill	bill#	bill+N+SG
authority	authority#	authority+N+SG
assistance	assistance#	assistance+N+SG
cities	city^s#	city+N+PL
senate	senate#	senate+N+SG
fare	fare#	fare+N+SG
bills	bill^s#	bill+N+PL
committees	committee^s#	committee+N+PL
calendar	calendar#	calendar+N+SG
acts	act^s#	act+N+PL
school	school#	school+N+SG
districts	district^s#	district+N+PL
authority	authority#	authority+N+SG
act	act#	act+N+SG
creation	creation#	creation+N+SG
amendment	amendment#	amendment+N+SG
dissent	dissent#	dissent+N+SG
senators	senator^s#	senator+N+PL
bill	bill#	bill+N+SG
establishment	establishment#	establishment+N+SG
future	future#	future+N+SG
school	school#	school+N+SG
district	district#	district+N+SG
Money	money#	money+N+SG
construction	construction#	construction+N+SG
meantime	meantime#	meantime+N+SG
board	board#	board+N+SG
gifts	gift^s#	gift+N+PL
donations	donation^s#	donation+N+PL
site	site#	site+N+SG
tax	tax#	tax+N+SG
revision	revision#	revision+N+SG
bills	bill^s#	bill+N+PL
retailers	retailer^s#	retailer+N+PL
group	group#	group+N+SG
excise	excise#	excise+N+SG
taxes	tax^s#	tax+N+PL
requirement	requirement#	requirement+N+SG
return	return#	return+N+SG
retailers	retailer^s#	retailer+N+PL
certificate	certificate#	certificate+N+SG
correctness	correctnes^s#	correctnes+N+PL
violation	violation#	violation+N+SG
penalty	penalty#	penalty+N+SG
years	year^s#	year+N+PL
prison	prison#	prison+N+SG
fine	fine#	fine+N+SG
series	sery^s#	sery+N+PL
recommendations	recommendation^s#	recommendation+N+PL
bill	bill#	bill+N+SG
estate	estate#	estate+N+SG
brokers	broker^s#	broker+N+PL
fee	fee#	fee+N+SG
occupation	occupation#	occupation+N+SG
license	license#	license+N+SG
brokers	broker^s#	broker+N+PL
stocks	stock^s#	stock+N+PL
bonds	bond^s#	bond+N+PL
gas	ga^s#	ga+N+PL
utility	utility#	utility+N+SG
companies	company^s#	company+N+PL
right	right#	right+N+SG
domain	domain#	domain+N+SG
bill	bill#	bill+N+SG
sites	site^s#	site+N+PL
storage	storage#	storage+N+SG
reservoirs	reservoir^s#	reservoir+N+PL
gas	ga^s#	ga+N+PL
chairman	chairman#	chairman+N+SG
plan	plan#	plan+N+SG
appointment	appointment#	appointment+N+SG
vacancies	vacancy^s#	vacancy+N+PL
need	need#	need+N+SG
elections	election^s#	election+N+PL
plan	plan#	plan+N+SG
appointee	appointee#	appointee+N+SG
board	board#	board+N+SG
governor	governor#	governor+N+SG
lieutenant	lieutenant#	lieutenant+N+SG
governor	governor#	governor+N+SG
speaker	speaker#	speaker+N+SG
attorney	attorney#	attorney+N+SG
general	general#	general+N+SG
justice	justice#	justice+N+SG
State	state#	state+N+SG
representatives	representative^s#	representative+N+PL
poll	poll#	poll+N+SG
kind	kind#	kind+N+SG
taxes	tax^s#	tax+N+PL
vote	vote#	vote+N+SG
bill	bill#	bill+N+SG
referendum	referendum#	referendum+N+SG
ballot	ballot#	ballot+N+SG
senator	senator#	senator+N+SG
sponsor	sponsor#	sponsor+N+SG
poll	poll#	poll+N+SG
idea	idea#	idea+N+SG
delay	delay#	delay+N+SG
committee	committee#	committee+N+SG
bill	bill#	bill+N+SG
committee	committee#	committee+N+SG
hearing	hearing#	hearing+N+SG
proposal	proposal#	proposal+N+SG
approval	approval#	approval+N+SG
majorities	majority^s#	majority+N+PL
ballot	ballot#	ballot+N+SG
Opponents	opponent^s#	opponent+N+PL
ballot	ballot#	ballot+N+SG
information	information#	information+N+SG
tax	tax#	tax+N+SG
proposals	proposal^s#	proposal+N+PL
voters	voter^s#	voter+N+PL
choice	choice#	choice+N+SG
members	member^s#	member+N+PL
water	water#	water+N+SG
needs	need^s#	need+N+PL
cities	city^s#	city+N+PL
water	water#	water+N+SG
development	development#	development+N+SG
bill	bill#	bill+N+SG
effort	effort#	effort+N+SG
cities	city^s#	city+N+PL
places	place^s#	place+N+PL
hamlet	hamlet#	hamlet+N+SG
people	people#	people+N+SG
shouting	shouting#	shouting+N+SG
bill	bill#	bill+N+SG
proposal	proposal#	proposal+N+SG
fire	fire#	fire+N+SG
bill	bill#	bill+N+SG
loan	loan#	loan+N+SG
state	state#	state+N+SG
water	water#	water+N+SG
project	project#	project+N+SG
effort	effort#	effort+N+SG
cities	city^s#	city+N+PL
money	money#	money+N+SG
water	water#	water+N+SG
Statements	statement^s#	statement+N+PL
legislators	legislator^s#	legislator+N+PL
water	water#	water+N+SG
program	program#	program+N+SG
bonds	bond^s#	bond+N+PL
places	place^s#	place+N+PL
bill	bill#	bill+N+SG
attack	attack#	attack+N+SG
defenders	defender^s#	defender+N+PL
legislators	legislator^s#	legislator+N+PL
bill	bill#	bill+N+SG
bonds	bond^s#	bond+N+PL
peanut	peanut#	peanut+N+SG
districts	district^s#	district+N+PL
teacher	teacher#	teacher+N+SG
law	law#	law+N+SG
time	time#	time+N+SG
methods	method^s#	method+N+PL
history	history#	history+N+SG
schools	school^s#	school+N+PL
semester	semester#	semester+N+SG
hours	hour^s#	hour+N+PL
methods	method^s#	method+N+PL
courses	cours^s#	cours+N+PL
school	school#	school+N+SG
certificate	certificate#	certificate+N+SG
work	work#	work+N+SG
college	college#	college+N+SG
semester	semester#	semester+N+SG
hours	hour^s#	hour+N+PL
high	high#	high+N+SG
teachers	teacher^s#	teacher+N+PL
semester	semester#	semester+N+SG
hours	hour^s#	hour+N+PL
subject	subject#	subject+N+SG
remainder	remainder#	remainder+N+SG
college	college#	college+N+SG
requirement	requirement#	requirement+N+SG
subjects	subject^s#	subject+N+PL
person	person#	person+N+SG
degree	degree#	degree+N+SG
physics	physic^s#	physic+N+PL
chemistry	chemistry#	chemistry+N+SG
math	math#	math+N+SG
courses	cours^s#	cours+N+PL
schools	school^s#	school+N+PL
College	college#	college+N+SG
teachers	teacher^s#	teacher+N+PL
courses	cours^s#	cours+N+PL
representatives	representative^s#	representative+N+PL
proposal	proposal#	proposal+N+SG
board	board#	board+N+SG
regents	regent^s#	regent+N+PL
president	president#	president+N+SG
close	close#	close+N+SG
school	school#	school+N+SG
term	term#	term+N+SG
degree	degree#	degree+N+SG
degree	degree#	degree+N+SG
degree	degree#	degree+N+SG
addition	addition#	addition+N+SG
college	college#	college+N+SG
career	career#	career+N+SG
captain	captain#	captain+N+SG
basketball	basketball#	basketball+N+SG
team	team#	team+N+SG
football	football#	football+N+SG
letterman	letterman#	letterman+N+SG
teacher	teacher#	teacher+N+SG
principal	principal#	principal+N+SG
schools	school^s#	school+N+PL
teacher	teacher#	teacher+N+SG
director	director#	director+N+SG
instructor	instructor#	instructor+N+SG
professor	professor#	professor+N+SG
education	education#	education+N+SG
border	border#	border+N+SG
patrolman	patrolman#	patrolman+N+SG
Principals	principal^s#	principal+N+PL
schools	school^s#	school+N+PL
session	session#	session+N+SG
recommendation	recommendation#	recommendation+N+SG
State	state#	state+N+SG
legislation	legislation#	legislation+N+SG
discrimination	discrimination#	discrimination+N+SG
employment	employment#	employment+N+SG
report	report#	report+N+SG
ribbon	ribbon#	ribbon+N+SG
citizens	citizen^s#	citizen+N+PL
committee	committee#	committee+N+SG
aid	aid#	aid+N+SG
children	children#	children+N+SG
report	report#	report+N+SG
year	year#	year+N+SG
study	study#	study+N+SG
ADC	adc#	adc+N+SG
program	program#	program+N+SG
county	county#	county+N+SG
welfare	welfare#	welfare+N+SG
firm	firm#	firm+N+SG
range	range#	range+N+SG
recommendations	recommendation^s#	recommendation+N+PL
ADC	adc#	adc+N+SG
case	case#	case+N+SG
load	load#	load+N+SG
report	report#	report+N+SG
discrimination	discrimination#	discrimination+N+SG
employment	employment#	employment+N+SG
causes	caus^s#	caus+N+PL
family	family#	family+N+SG
breakdown	breakdown#	breakdown+N+SG
desertion	desertion#	desertion+N+SG
ADC	adc#	adc+N+SG
dependency	dependency#	dependency+N+SG
cost	cost#	cost+N+SG
ADC	adc#	adc+N+SG
recipients	recipient^s#	recipient+N+PL
county	county#	county+N+SG
dollars	dollar^s#	dollar+N+PL
president	president#	president+N+SG
committee	committee#	committee+N+SG
chairman	chairman#	chairman+N+SG
problems	problem^s#	problem+N+PL
people	people#	people+N+SG
ADC	adc#	adc+N+SG
subsistence	subsistence#	subsistence+N+SG
volume	volume#	volume+N+SG
ADC	adc#	adc+N+SG
cases	cas^s#	cas+N+PL
community	community#	community+N+SG
problems	problem^s#	problem+N+PL
skills	skill^s#	skill+N+PL
discrimination	discrimination#	discrimination+N+SG
employment	employment#	employment+N+SG
color	color#	color+N+SG
causes	caus^s#	caus+N+PL
family	family#	family+N+SG
breakups	breakup^s#	breakup+N+PL
ADC	adc#	adc+N+SG
recommendations	recommendation^s#	recommendation+N+PL
committee	committee#	committee+N+SG
Extension	extension#	extension+N+SG
ADC	adc#	adc+N+SG
program	program#	program+N+SG
children	children#	children+N+SG
need	need#	need+N+SG
relatives	relative^s#	relative+N+PL
parents	parent^s#	parent+N+PL
means	mean^s#	mean+N+PL
family	family#	family+N+SG
unity	unity#	unity+N+SG
Research	research#	research+N+SG
projects	project^s#	project+N+PL
causes	caus^s#	caus+N+PL
prevention	prevention#	prevention+N+SG
dependency	dependency#	dependency+N+SG
illegitimacy	illegitimacy#	illegitimacy+N+SG
defendants	defendant^s#	defendant+N+PL
police	police#	police+N+SG
burglary	burglary#	burglary+N+SG
trial	trial#	trial+N+SG
statements	statement^s#	statement+N+PL
guilt	guilt#	guilt+N+SG
time	time#	time+N+SG
arrest	arrest#	arrest+N+SG
court	court#	court+N+SG
disclosure	disclosure#	disclosure+N+SG
defense	defense#	defense+N+SG
counsel	counsel#	counsel+N+SG
